,Location,Restaurant Name,Rating,Number of Ratings,Cuisine
298,Srinagar,26. 11 Plates Food Cafe,4.5 of 5 bubbles,17 reviews,"Chinese, American"
299,Srinagar,27. Jan Bakery,4.0 of 5 bubbles,32 reviews,Bakeries
300,Srinagar,28. The Chocolate ROOM Srinagar J&K,4.0 of 5 bubbles,41 reviews,"Dessert, Indian"
301,Srinagar,29. Tall Tree Restaurant,4.5 of 5 bubbles,14 reviews,"Indian, Asian"
302,Srinagar,30. Fat Panda,5.0 of 5 bubbles,8 reviews,"Thai, Chinese"
303,Shimla,1. The Restaurant,4.5 of 5 bubbles,267 reviews,"Indian, Asian"
304,Shimla,2. Hide Out Cafe,4.5 of 5 bubbles,474 reviews,"Chinese, Cafe"
305,Shimla,3. Wake and Bake,4.5 of 5 bubbles,779 reviews,"French, Indian"
306,Shimla,4. Cafe Simla Times,4.5 of 5 bubbles,688 reviews,"Italian, Chinese"
307,Shimla,5. Himachali Rasoi,4.5 of 5 bubbles,162 reviews,"Indian, Asian"
308,Shimla,6. Eighteen71- Cookhouse & Bar,4.5 of 5 bubbles,182 reviews,"Indian, Bar"
309,Shimla,7. Cafe Sol,4.0 of 5 bubbles,361 reviews,"Italian, Mexican"
310,Shimla,8. Cafe Under Tree,4.5 of 5 bubbles,74 reviews,"Indian, Cafe"
311,Shimla,9. 45 The Central,4.5 of 5 bubbles,104 reviews,"Indian, Asian"
312,Shimla,10. Sita Ram And Sons,4.5 of 5 bubbles,80 reviews,"Asian, Indian"
313,Shimla,11. The Corner Cafe,5.0 of 5 bubbles,19 reviews,"Italian, Indian"
314,Shimla,12. Guptajees Vsishnav Bhojnalaya,4.0 of 5 bubbles,115 reviews,"Indian, Asian"
315,Shimla,13. Ashiana & Goofa,3.5 of 5 bubbles,324 reviews,"Indian, Asian"
316,Shimla,14. The Restaurant at the Oberoi Wildflower Hall,4.5 of 5 bubbles,256 reviews,"Chinese, Indian"
317,Shimla,15. Hotel Combermere,4.0 of 5 bubbles,85 reviews,"Indian, Chinese"
318,Shimla,16. The Brew Estate Shimla,4.5 of 5 bubbles,74 reviews,"Indian, Bar"
319,Shimla,17. The Devicos,4.0 of 5 bubbles,127 reviews,"Fast food, Indian"
320,Shimla,18. Tripti Restaurant,4.0 of 5 bubbles,60 reviews,"Indian, Asian"
321,Shimla,19. Moti Mahal Delux Restaurant,4.5 of 5 bubbles,54 reviews,"Indian, Chinese"
322,Shimla,20. La Pino'z Pizza,4.0 of 5 bubbles,80 reviews,"Pizza, Italian"
323,Shimla,21. Alfa Restaurant,4.0 of 5 bubbles,91 reviews,"Indian, Asian"
324,Shimla,22. Aunty's Kitchen,4.0 of 5 bubbles,48 reviews,"Chinese, Asian"
325,Shimla,23. Sher E Punjab,3.5 of 5 bubbles,254 reviews,"Indian, Asian"
326,Shimla,24. Punjabi Rasoi,4.5 of 5 bubbles,20 reviews,Indian
327,Shimla,25. Cafe Valley Vue,4.5 of 5 bubbles,20 reviews,Indian
328,Shimla,26. Scandal Delights,4.0 of 5 bubbles,86 reviews,"Bar, Chinese"
329,Shimla,27. Shingar Restaurant,4.0 of 5 bubbles,23 reviews,"Indian, Chinese"
330,Shimla,28. Prem Chat Shop,4.0 of 5 bubbles,23 reviews,"Indian, Fast food"
331,Shimla,29. Pappi Ka dhaba,4.0 of 5 bubbles,18 reviews,"Indian, Asian"
332,Shimla,30. Seventh Heaven,4.0 of 5 bubbles,40 reviews,"Indian, Asian"
333,Pune,1. Paasha,4.5 of 5 bubbles,854 reviews,Indian
334,Pune,2. Cafe Blu,5.0 of 5 bubbles,245 reviews,"Indian, Asian"
335,Pune,3. Chingari,5.0 of 5 bubbles,816 reviews,Indian
336,Pune,4. Shakahari,4.5 of 5 bubbles,312 reviews,₹₹₹₹
337,Pune,5. Alto Vino,4.5 of 5 bubbles,304 reviews,"Wine Bar, Italian"
338,Pune,6. Kangan,4.5 of 5 bubbles,344 reviews,₹₹₹₹
339,Pune,7. The Market,5.0 of 5 bubbles,100 reviews,"Indian, International"
340,Pune,8. Coriander Kitchen,4.5 of 5 bubbles,194 reviews,"Indian, Asian"
341,Pune,9. Spice Kitchen,4.5 of 5 bubbles,902 reviews,"Indian, Asian"
342,Pune,10. Sorriso,4.5 of 5 bubbles,142 reviews,"Italian, Deli"
343,Pune,11. Mi-A-Mi,4.5 of 5 bubbles,129 reviews,"Chinese, Bar"
344,Pune,12. Baan Tao,4.5 of 5 bubbles,329 reviews,"Chinese, Asian"
345,Pune,13. Le Plaisir,4.5 of 5 bubbles,194 reviews,"Italian, Cafe"
346,Pune,14. Seasonal Tastes,4.5 of 5 bubbles,383 reviews,"Indian, International"
347,Pune,15. Savya Rasa,4.5 of 5 bubbles,196 reviews,"Indian, Asian"
348,Pune,16. Sante Spa Cuisine,4.5 of 5 bubbles,123 reviews,Healthy
349,Pune,17. Mix@36,4.5 of 5 bubbles,199 reviews,"Bar, International"
350,Pune,18. Feast,5.0 of 5 bubbles,522 reviews,"Chinese, Indian"
351,Pune,19. Ukiyo,5.0 of 5 bubbles,55 reviews,"Japanese, Sushi"
352,Pune,20. Barbeque Nation,4.5 of 5 bubbles,515 reviews,"Indian, Barbecue"
353,Pune,21. Barbeque Nation,4.5 of 5 bubbles,"1,200 reviews","Bar, Grill"
354,Pune,22. Vohuman Cafe,4.5 of 5 bubbles,327 reviews,"Cafe, Fast food"
355,Pune,23. Arthur's Theme,4.0 of 5 bubbles,273 reviews,"Italian, European"
356,Pune,24. Malaka Spice,4.5 of 5 bubbles,"1,657 reviews","Seafood, Asian"
357,Pune,25. The Place - Touche The Sizzler,4.5 of 5 bubbles,257 reviews,"Indian, International"
358,Pune,26. MoMo Cafe,4.5 of 5 bubbles,109 reviews,"Japanese, Asian"
359,Pune,27. Vaishali Restaurant,4.0 of 5 bubbles,"2,299 reviews","Indian, Fast food"
360,Pune,28. Shabree,4.0 of 5 bubbles,244 reviews,Indian
361,Pune,29. Evviva Sky Lounge,4.5 of 5 bubbles,127 reviews,"Bar, Mexican"
362,Pune,30. Sukanta Pure Veg Indian Thali,4.0 of 5 bubbles,268 reviews,"Indian, Asian"
363,Noida,1. I Sacked Newton,4.5 of 5 bubbles,231 reviews,"Italian, Mexican"
364,Noida,2. Barbeque Nation,4.5 of 5 bubbles,691 reviews,"Indian, Barbecue"
365,Noida,3. Rare Eastern Dining,4.5 of 5 bubbles,121 reviews,"Chinese, Japanese"
366,Noida,4. Infinity,5.0 of 5 bubbles,194 reviews,"Indian, International"
367,Noida,5. Burma Burma Restaurant & Tea Room,4.5 of 5 bubbles,57 reviews,"Asian, Burmese"
368,Noida,6. Pirates Of Grill,4.0 of 5 bubbles,220 reviews,"Indian, Barbecue"
369,Noida,7. World Cafe,5.0 of 5 bubbles,83 reviews,"Chinese, Indian"
370,Noida,8. Desi Vibes,4.0 of 5 bubbles,641 reviews,Indian
371,Noida,9. Berco's Noida,4.0 of 5 bubbles,400 reviews,"Chinese, Asian"
372,Noida,10. Mosaic Restaurant,4.5 of 5 bubbles,92 reviews,"Indian, European"
373,Noida,11. Punjabi By Nature,4.0 of 5 bubbles,310 reviews,"Indian, Asian"
374,Noida,12. Mainland China,4.0 of 5 bubbles,288 reviews,"Chinese, Asian"
375,Noida,13. The Great Kabab Factory,4.5 of 5 bubbles,104 reviews,Indian
376,Noida,14. Barish Moon Bar,5.0 of 5 bubbles,31 reviews,"Indian, Bar"
377,Noida,15. Cafe On 3,5.0 of 5 bubbles,244 reviews,"Indian, Cafe"
378,Noida,16. Mamagoto,4.0 of 5 bubbles,83 reviews,"Chinese, Asian"
379,Noida,17. Lakshmi Coffee House,4.0 of 5 bubbles,122 reviews,Indian
380,Noida,18. Barbeque Nation,4.5 of 5 bubbles,199 reviews,"Indian, Barbecue"
381,Noida,19. SXVIII,4.0 of 5 bubbles,82 reviews,"Indian, International"
382,Noida,20. Radisson Noida,4.0 of 5 bubbles,106 reviews,"International, Indian"
383,Noida,21. Made in India,4.5 of 5 bubbles,70 reviews,Indian
384,Noida,22. Made IN Punjab,4.0 of 5 bubbles,127 reviews,Indian
385,Noida,23. SodaBottleOpenerWala,4.0 of 5 bubbles,197 reviews,"Indian, Asian"
386,Noida,24. Ni Hao,4.5 of 5 bubbles,32 reviews,"Chinese, Asian"
387,Noida,25. McDonald's,4.0 of 5 bubbles,159 reviews,"Fast food, American"
388,Noida,26. Naivedhyam Noida,4.0 of 5 bubbles,62 reviews,"Indian, Asian"
389,Noida,27. Time Machine,4.0 of 5 bubbles,52 reviews,"Chinese, Indian"
390,Noida,28. Dunkin' Donuts,4.0 of 5 bubbles,92 reviews,"American, Fast food"
391,Noida,29. Crazy Noodles,4.0 of 5 bubbles,94 reviews,"Chinese, Asian"
392,Noida,30. Pind Balluchi,3.5 of 5 bubbles,209 reviews,"Indian, Asian"
393,Goa,1. Kava,5.0 of 5 bubbles,86 reviews,"Italian, Indian"
394,Goa,2. Treetop Tava,5.0 of 5 bubbles,210 reviews,"Indian, Bar"
395,Goa,3. Chique Shanti,5.0 of 5 bubbles,104 reviews,"Indian, Bar"
396,Goa,4. Mosaic,5.0 of 5 bubbles,140 reviews,"Italian, Chinese"
397,Goa,5. Spice Goa,5.0 of 5 bubbles,79 reviews,"Indian, Bar"
398,Goa,6. Barbeque Bay,5.0 of 5 bubbles,124 reviews,"Indian, Seafood"
399,Goa,7. Amavi by Sumera,5.0 of 5 bubbles,293 reviews,"International, European"
400,Goa,8. Ourem 88,5.0 of 5 bubbles,361 reviews,European
401,Goa,9. Nireas - Healthy Haven -,5.0 of 5 bubbles,189 reviews,"Cafe, Healthy"
402,Goa,10. Sea Breeze,5.0 of 5 bubbles,300 reviews,"Indian, Seafood"
403,Goa,11. Zest Vegan and Vegetarian Restaurant,5.0 of 5 bubbles,156 reviews,"Indian, Cafe"
404,Goa,12. Chef Cantando,5.0 of 5 bubbles,102 reviews,"Italian, American"
405,Goa,13. Zest,4.5 of 5 bubbles,575 reviews,"European, Fusion"
406,Goa,14. Copperleaf,4.5 of 5 bubbles,676 reviews,"Indian, Seafood"
407,Goa,15. The Caravela Cafe and Bistro,4.5 of 5 bubbles,160 reviews,"Coffee & Tea, Cafe"
408,Goa,16. Little World,4.5 of 5 bubbles,826 reviews,"Indian, Cafe"
409,Goa,17. Hangout Ashvem,5.0 of 5 bubbles,72 reviews,"Indian, Bar"
410,Goa,18. Relish Unique Dining & Bar,4.5 of 5 bubbles,281 reviews,"Indian, Asian"
411,Goa,19. Bluebird,4.5 of 5 bubbles,202 reviews,"Indian, Seafood"
412,Goa,20. Spice Traders,4.5 of 5 bubbles,213 reviews,"Chinese, Japanese"
413,Goa,21. Chef Soumyen's Kitchen,4.5 of 5 bubbles,916 reviews,"Seafood, European"
414,Goa,22. Goa's Ark,4.5 of 5 bubbles,349 reviews,"Mediterranean, Barbecue"
415,Goa,23. Jardin d'Ulysse,4.5 of 5 bubbles,398 reviews,"Seafood, European"
416,Goa,24. Relish,4.5 of 5 bubbles,411 reviews,"Indian, Asian"
417,Goa,25. Mandala Cafe,4.5 of 5 bubbles,227 reviews,"Indian, Cafe"
418,Goa,26. Stringfellows Beach Shack,4.5 of 5 bubbles,348 reviews,"Bar, Seafood"
419,Goa,27. The Black Sheep Bistro,4.5 of 5 bubbles,"1,149 reviews","European, Contemporary"
420,Goa,28. Cavatina Cuchina,4.5 of 5 bubbles,488 reviews,"European, Contemporary"
421,Goa,29. Fire & Ice,4.5 of 5 bubbles,516 reviews,"Indian, Asian"
422,Goa,30. Jamies Restaurant,4.5 of 5 bubbles,871 reviews,"Seafood, European"
